combo_number,n_estimators,contamination,max_samples,max_features,precision,recall,f1
473,200,0.1,256,0.8,0.8590522478736331,0.7251282051282051,0.7864293659621802
574,250,0.05,512,1.0,0.9188445667125172,0.6851282051282052,0.7849588719153937
814,400,0.05,512,1.0,0.921161825726141,0.683076923076923,0.784452296819788
227,100,0.07,768,0.8,0.8926701570680629,0.6994871794871795,0.7843588269120184
942,500,0.07,256,1.0,0.8904823989569752,0.7005128205128205,0.7841561423650976
1054,750,0.05,512,1.0,0.9210526315789473,0.6820512820512821,0.7837360047142016
934,500,0.05,512,1.0,0.9222222222222223,0.681025641025641,0.783480825958702
1174,1000,0.05,512,1.0,0.9222222222222223,0.681025641025641,0.783480825958702
96,50,0.05,768,1.0,0.9197786998616874,0.6820512820512821,0.7832744405182568
1062,750,0.07,256,1.0,0.891218872870249,0.6974358974358974,0.7825086306098964
575,250,0.05,768,0.8,0.9232914923291492,0.678974358974359,0.7825059101654847
702,300,0.07,256,1.0,0.8844155844155844,0.6984615384615385,0.7805157593123209
104,50,0.07,384,1.0,0.897196261682243,0.6892307692307692,0.7795823665893271
822,400,0.07,256,1.0,0.8884514435695539,0.6943589743589743,0.7795048934945308
462,200,0.07,256,1.0,0.8883048620236531,0.6933333333333334,0.7788018433179723
1182,1000,0.07,256,1.0,0.8912466843501327,0.6892307692307692,0.7773279352226721
1053,750,0.05,512,0.8,0.9211267605633803,0.6707692307692308,0.7762611275964392
1173,1000,0.05,512,0.8,0.921015514809591,0.6697435897435897,0.7755344418052257
582,250,0.07,256,1.0,0.8874172185430463,0.6871794871794872,0.7745664739884393
1061,750,0.07,256,0.8,0.8906666666666667,0.6851282051282052,0.7744927536231884
223,100,0.07,384,0.8,0.8884462151394422,0.6861538461538461,0.7743055555555556
214,100,0.05,512,1.0,0.9135285913528591,0.6717948717948717,0.7742316784869976
342,150,0.07,256,1.0,0.8840579710144928,0.6882051282051282,0.7739331026528259
455,200,0.05,768,0.8,0.9217638691322901,0.6646153846153846,0.7723480333730631
933,500,0.05,512,0.8,0.9217638691322901,0.6646153846153846,0.7723480333730631
353,150,0.1,256,0.8,0.8573216520650814,0.7025641025641025,0.7722660653889515
573,250,0.05,512,0.8,0.9229671897289586,0.6635897435897435,0.7720763723150358
453,200,0.05,512,0.8,0.9215406562054208,0.6625641025641026,0.7708830548926014
813,400,0.05,512,0.8,0.9190340909090909,0.6635897435897435,0.7706968433591423
693,300,0.05,512,0.8,0.9202279202279202,0.6625641025641026,0.7704233750745378
941,500,0.07,256,0.8,0.8882907133243607,0.676923076923077,0.7683352735739232
821,400,0.07,256,0.8,0.8881401617250674,0.6758974358974359,0.7676179382644147
1181,1000,0.07,256,0.8,0.8869448183041723,0.6758974358974359,0.7671711292200233
102,50,0.07,256,1.0,0.893296853625171,0.6697435897435897,0.7655334114888629
831,400,0.1,128,0.8,0.8526448362720404,0.6943589743589743,0.7654041831543245
332,150,0.05,384,1.0,0.9157142857142857,0.6574358974358975,0.7653731343283582
107,50,0.07,768,0.8,0.8852901484480432,0.6728205128205128,0.7645687645687645
333,150,0.05,512,0.8,0.9243085880640466,0.6512820512820513,0.7641395908543923
222,100,0.07,256,1.0,0.8840970350404312,0.6728205128205128,0.7641234711706465
1191,1000,0.1,128,0.8,0.8520859671302149,0.6912820512820513,0.7633069082672707
951,500,0.1,128,0.8,0.85297845373891,0.6902564102564103,0.7630385487528345
691,300,0.05,384,0.8,0.9176300578034682,0.6512820512820513,0.7618476304739052
1071,750,0.1,128,0.8,0.8526048284625158,0.6882051282051282,0.7616345062429057
711,300,0.1,128,0.8,0.8524173027989822,0.6871794871794872,0.760931289040318
335,150,0.05,768,0.8,0.9161849710982659,0.6502564102564102,0.7606478704259149
452,200,0.05,384,1.0,0.9136690647482014,0.6512820512820513,0.7604790419161677
93,50,0.05,512,0.8,0.9209370424597365,0.6451282051282051,0.758745476477684
581,250,0.07,256,0.8,0.8805970149253731,0.6656410256410257,0.758177570093458
591,250,0.1,128,0.8,0.8554838709677419,0.68,0.7577142857142857
113,50,0.1,256,0.8,0.8505747126436781,0.683076923076923,0.757679180887372
952,500,0.1,128,1.0,0.8573281452658884,0.6779487179487179,0.7571592210767468
701,300,0.07,256,0.8,0.8802721088435375,0.6635897435897435,0.7567251461988304
572,250,0.05,384,1.0,0.9142441860465116,0.6451282051282051,0.756464221286831
1072,750,0.1,128,1.0,0.8521850899742931,0.68,0.7564175698802054
212,100,0.05,384,1.0,0.9154518950437318,0.6441025641025641,0.7561709813365443
692,300,0.05,384,1.0,0.9129172714078374,0.6451282051282051,0.7560096153846154
471,200,0.1,128,0.8,0.8540051679586563,0.6779487179487179,0.7558604917095483
1172,1000,0.05,384,1.0,0.9178885630498533,0.642051282051282,0.7555823777911889
571,250,0.05,384,0.8,0.9127906976744186,0.6441025641025641,0.7552615754660252
1192,1000,0.1,128,1.0,0.8507078507078507,0.6779487179487179,0.7545662100456622
932,500,0.05,384,1.0,0.9113372093023255,0.6430769230769231,0.7540589296452195
812,400,0.05,384,1.0,0.9113372093023255,0.6430769230769231,0.7540589296452195
213,100,0.05,512,0.8,0.9188790560471977,0.638974358974359,0.7537810042347247
233,100,0.1,256,0.8,0.8454661558109834,0.678974358974359,0.7531285551763367
931,500,0.05,384,0.8,0.9124087591240876,0.6410256410256411,0.7530120481927711
1164,1000,0.03,768,1.0,0.9442724458204335,0.6256410256410256,0.7526218383713756
811,400,0.05,384,0.8,0.9110787172011662,0.6410256410256411,0.7525586995785671
215,100,0.05,768,0.8,0.9186390532544378,0.6369230769230769,0.7522713506965475
1052,750,0.05,384,1.0,0.9122807017543859,0.64,0.7522603978300181
103,50,0.07,384,0.8,0.8791208791208791,0.6564102564102564,0.7516147974163241
92,50,0.05,384,1.0,0.9185185185185185,0.6358974358974359,0.7515151515151515
472,200,0.1,128,1.0,0.8517555266579974,0.6717948717948717,0.7511467889908257
331,150,0.05,384,0.8,0.9144542772861357,0.6358974358974359,0.7501512401693889
684,300,0.03,768,1.0,0.9453978159126365,0.6215384615384615,0.75
924,500,0.03,768,1.0,0.9481946624803768,0.6194871794871795,0.749379652605459
352,150,0.1,128,1.0,0.8502604166666666,0.6697435897435897,0.7492828456683879
1044,750,0.03,768,1.0,0.9453125,0.6205128205128205,0.7492260061919505
1051,750,0.05,384,0.8,0.9142011834319527,0.6338461538461538,0.7486371895820715
